10:02:29 2024/09/28 - 10:02:29 | 502 | 17.1326ms | 127.0.0.1 | GET |  | 157 | /v1/friend_request | 连接数据库失败, error:dial tcp [::1]:3306: connectex: No connection could be made because the target machine actively refused it.
11:52:15 2024/09/28 - 11:52:15 | 200 | 23.9885ms | ::1 | GET |  | 52 | /v1/friend_request | 
11:52:15 2024/09/28 - 11:52:15 | 200 | 1.6658ms | ::1 | GET |  | 176 | /v1/refresh_token | 
11:52:15 2024/09/28 - 11:52:15 | 200 | 4.7358ms | ::1 | GET |  | 207 | /v1/friend_request | 
11:52:15 2024/09/28 - 11:52:15 | 200 | 4.4622ms | ::1 | GET |  | 224 | /v1/friend | 
11:52:27 2024/09/28 - 11:52:27 | 200 | 2.3214ms | ::1 | GET |  | 207 | /v1/friend_request | 
11:52:27 2024/09/28 - 11:52:27 | 200 | 1.1401ms | ::1 | GET |  | 224 | /v1/friend | 
11:52:31 2024/09/28 - 11:52:31 | 200 | 1.1889ms | ::1 | GET |  | 207 | /v1/friend_request | 
11:52:31 2024/09/28 - 11:52:31 | 200 | 1.3595ms | ::1 | GET |  | 224 | /v1/friend | 
11:52:37 2024/09/28 - 11:52:37 | 200 | 1.2664ms | ::1 | GET |  | 0 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
11:56:19 2024/09/28 - 11:56:19 | 200 | 10.0077ms | ::1 | GET |  | 0 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
11:56:22 2024/09/28 - 11:56:22 | 200 | 1.3586ms | ::1 | GET |  | 0 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
11:56:26 2024/09/28 - 11:56:26 | 200 | 2.0407ms | ::1 | GET |  | 0 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
11:56:53 2024/09/28 - 11:56:53 | 200 | 507.6µs | ::1 | GET |  | 0 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
11:57:21 2024/09/28 - 11:57:21 | 200 | 692.2µs | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
11:58:22 2024/09/28 - 11:58:22 | 200 | 6.8718ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
12:08:26 2024/09/28 - 12:08:26 | 200 | 57.5678ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
12:23:55 2024/09/28 - 12:23:55 | 200 | 11.3994ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
12:28:17 2024/09/28 - 12:28:17 | 200 | 9.1658ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
12:29:36 2024/09/28 - 12:29:36 | 200 | 735.4µs | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
13:26:46 2024/09/28 - 13:26:46 | 200 | 11.2639ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
13:28:55 2024/09/28 - 13:28:55 | 200 | 21.4748ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
13:29:05 2024/09/28 - 13:29:05 | 200 | 724.7µs | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
13:36:46 2024/09/28 - 13:36:46 | 200 | 14.2115ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
13:37:11 2024/09/28 - 13:37:11 | 200 | 610.5µs | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
14:10:12 2024/09/28 - 14:10:12 | 200 | 19.7813ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
15:06:29 2024/09/28 - 15:06:29 | 200 | 13.0446ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCYL3G1tiDWKvSr_DxDV3r_L5e-LV_4gs3WXvKpSoG5B0ciW1ZiHPFSkb7TR_1-8kug== | 
